sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:4440178	Hipposideros gigas	RO:0002453	host of	EOL:40019484	Nycteribia schmidlii scotti	GEONAMES:2400553	Kessipoughou cave			2012-05/2013-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:4440178	Hipposideros gigas	RO:0002453	host of	EOL:766881	Brachytarsina allaudi	GEONAMES:2400553	Kessipoughou cave			2012-05/2013-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:999165	Miniopterus inflatus	RO:0002453	host of	EOL:40019484	Nycteribia schmidlii scotti	GEONAMES:2400553	Djibilong cave			2012-05/2013-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:999165	Miniopterus inflatus	RO:0002453	host of	EOL:767123	Eucampsipoda africana	GEONAMES:2400553	Djibilong cave			2012-05/2013-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:4440178	Hipposideros gigas	RO:0002453	host of	EOL:767123	Eucampsipoda africana	GEONAMES:2400553	Kessipoughou cave			2012-05/2013-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:323421	Rousettus aegyptiacus	RO:0002453	host of	EOL:767123	Eucampsipoda africana	GEONAMES:2400553	Zadie cave			2011-02/2011-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:4440178	Hipposideros gigas	RO:0002453	host of	EOL:767097	Penicilidia fulvida	GEONAMES:2400553	Kessipoughou cave			2012-05/2013-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:999165	Miniopterus inflatus	RO:0002453	host of	EOL:767097	Penicilidia fulvida	GEONAMES:2400553	Faucon cave			2011-02/2011-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:999165	Miniopterus inflatus	RO:0002453	host of	EOL:40019484	Nycteribia schmidlii scotti	GEONAMES:2400553	Faucon cave			2011-02/2011-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
EOL:999165	Miniopterus inflatus	RO:0002453	host of	EOL:767097	Penicilidia fulvida	GEONAMES:2400553	Djibilong cave			2012-05/2013-04	doi: 10.1186/s13071-016-1625-z	Obame-Nkoghe, J., Rahola, N., Bourgarel, M., Yangari, P., Prugnolle, F., Maganga, G.D., Leroy, E.M., Fontenille, D., Ayala, D. and Paupy, C., 2016. Bat flies (Diptera: Nycteribiidae and Streblidae) infesting cave-dwelling bats in Gabon: diversity, dynamics and potential role in Polychromophilus melanipherus transmission. Parasites & Vectors, 9(1), p.1.
